Country,Total,"New York-Newark-Jersey City, NY-NJ-PA","Los Angeles-Long Beach-Anaheim, CA","Miami-Fort Lauderdale-West Palm Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Chicago-Naperville-Elgin, IL-IN-WI","Houston-The Woodlands-Sugar Land, TX","San Francisco-Oakland-Hayward, CA","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Newton, MA-NH","Atlanta-Sandy Springs-Roswell, GA","Seattle-Tacoma-Bellevue, WA","San Jose-Sunnyvale-Santa Clara, CA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","San Diego-Carlsbad, CA","Riverside-San Bernardino-Ontario, CA","Detroit-Warren-Dearborn, MI","Phoenix-Mesa-Scottsdale, AZ","Orlando-Kissimmee-Sanford, FL","Minneapolis-Saint Paul-Bloomington, MN-WI","Tampa-Saint Petersburg-Clearwater, FL","Sacramento--Roseville--Arden-Arcade, CA","Las Vegas-Henderson-Paradise, NV","Denver-Aurora-Lakewood, CO","Baltimore-Columbia-Towson, MD","Portland-Vancouver-Hillsboro, OR-WA","Austin-Round Rock, TX","Charlotte-Concord-Gastonia, NC-SC","San Antonio-New Braunfels, TX","Columbus, OH","Providence-Warwick, RI-MA","Indianapolis-Carmel-Anderson, IN","Nashville-Davidson--Murfreesboro--Franklin, TN","El Paso, TX","Bridgeport-Stamford-Norwalk, CT","Urban Honolulu, HI","Raleigh, NC","Salt Lake City, UT","Kansas City, MO-KS","Jacksonville, FL","Louisville/Jefferson County, KY-IN","Cincinnati, OH-KY-IN","Hartford-West Hartford-East Hartford, CT","Stockton-Lodi, CA","Fresno, CA","Worcester, MA-CT","Cleveland-Elyria, OH","Bakersfield, CA","McAllen-Edinburg-Mission, TX","Cape Coral-Fort Myers, FL","San Juan-Carolina-Caguas, PR",NAME_LONG,ISO_A3
Curacao,35,5,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Curacao,CUW
Cyprus,131,40,12,6,4,5,,,3,,,3,4,4,,,,,,,,3,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,Cyprus,CYP
Czechia,650,64,37,21,26,63,7,26,14,17,17,24,19,14,7,5,4,9,3,3,6,3,7,13,5.0,9,,,,,,,8.0,,,3,10.0,3,5.0,4.0,,,,,,5.0,,,,,,Czechia,CZE
Denmark,521,75,45,17,17,17,20,31,6,16,21,15,15,10,5,3,,,14,5,5,3,,,10.0,5,,,,,,,,,12.0,,11.0,4,3.0,3.0,,3.0,4.0,,,,,,,,,Denmark,DNK
Djibouti,281,4,,,6,7,,,,6,8,7,,,,,,,,59,,,,9,5.0,,,,,8.0,,,,,,,,,,,13,,,,,,,,,,,Djibouti,DJI
Dominica,298,101,,19,12,3,4,,6,3,7,,,5,,,,,,,4,,,,9.0,,,,,,,,,,8.0,,,,,3.0,,,3.0,,,,,,,,,Dominica,DMA
Dominican Republic,"61,161","35,495",118,"2,635",635,170,201,42,161,"4,660",425,28,6,"1,593",37,26,86,51,"1,075",54,481,22,55,31,141.0,17,25,215.0,48,106.0,"1,465",83,8.0,16,461.0,,136.0,39,34.0,74.0,17,63.0,243.0,,,336.0,72.0,3,8,118,"2,513",Dominican Republic,DOM
Ecuador,"10,757","6,249",235,770,129,383,113,34,41,87,100,21,8,121,19,34,10,19,196,243,70,3,29,15,35.0,10,17,120.0,16,16.0,27,8,9.0,5,276.0,,10.0,28,16.0,16.0,3,7.0,55.0,,,38.0,5.0,8,,14,12,Ecuador,ECU
Egypt,"12,045","3,624","1,323",127,475,192,251,236,341,262,91,145,91,278,64,318,159,54,169,91,183,42,31,23,97.0,85,25,52.0,27,60.0,55,64,763.0,,15.0,4,54.0,10,21.0,15.0,13,37.0,24.0,3,6,89.0,78.0,36,7,11,,Egypt,EGY
El Salvador,"23,449","3,046","4,125",505,"3,669",194,"1,760","1,184",945,673,357,130,199,56,44,457,24,106,72,125,51,78,310,118,261.0,65,78,207.0,79,55.0,70,70,106.0,8,33.0,8,79.0,84,65.0,17.0,14,14.0,23.0,34,142,79.0,12.0,87,9,27,10,El Salvador,SLV
Equatorial Guinea,18,,,,,,,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equatorial Guinea,GNQ
Eritrea,"2,267",24,39,,250,40,83,162,123,36,116,175,32,38,23,3,5,45,6,63,10,9,52,77,32.0,26,24,33.0,36,67.0,3,46,20.0,,,,14.0,9,,5.0,11,13.0,,,,,7.0,,,,,Eritrea,ERI
Estonia,211,30,9,13,6,9,,18,,4,4,5,8,,3,,,4,7,7,3,3,3,4,5.0,3,,4.0,,,,,,,,,,,,,,3.0,,,,,,,,,,Estonia,EST
Ethiopia,"13,232",155,248,22,"2,938",202,268,245,568,244,713,906,184,155,154,34,26,105,14,"1,123",32,80,499,595,161.0,185,126,74.0,20,334.0,6,60,146.0,,4.0,,51.0,53,170.0,44.0,51,78.0,16.0,5,18,11.0,23.0,,,,,Ethiopia,ETH
Fiji,866,9,45,,4,,4,194,7,,4,60,21,,5,12,,7,,,,242,6,,,29,,,,,,,,,,11,5.0,4,,,,,,25,,,,,,,,Fiji,FJI
Finland,489,59,32,31,19,10,4,21,21,17,15,24,56,6,17,,7,7,6,6,10,,,,,6,,7.0,,,,,,,,,3.0,,,,,,,,,,3.0,,,,,Finland,FIN
French Polynesia,27,,5,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,French Polynesia,PYF
Gabon,165,25,4,3,11,,10,3,8,3,13,,,,,,,,5,,,,,4,3.0,,,,,4.0,,,,,,,3.0,,,,,4.0,,,,,,,,,,Gabon,GAB
Gambia,"1,247",353,7,,61,8,7,,30,9,123,143,3,15,4,3,27,4,4,38,,,,5,18.0,8,3,8.0,,34.0,21,,5.0,,3.0,,27.0,,10.0,,18,11.0,3.0,,,,,,,,,Gambia,GMB
Georgia,"1,635",939,121,20,40,31,5,15,,12,17,8,19,116,9,3,4,,5,3,,12,5,8,16.0,17,6,,3,5.0,5,,,,10.0,,,8,,,3,12.0,,,3,,7.0,,,,,Georgia,GEO
Germany,"5,306",648,347,170,182,127,109,260,61,176,108,128,149,71,74,54,108,43,56,38,43,30,29,61,38.0,67,37,67.0,32,26.0,18,17,21.0,20,27.0,27,30.0,17,25.0,15.0,12,21.0,23.0,11,10,13.0,21.0,7,3,39,9,Germany,DEU
Ghana,"6,949","1,891",56,20,869,227,89,44,179,118,304,28,4,228,23,39,24,33,18,95,25,7,16,116,157.0,22,16,53.0,11,375.0,46,18,38.0,6,22.0,,22.0,7,17.0,12.0,4,98.0,108.0,,,281.0,17.0,5,,,,Ghana,GHA
Greece,"1,451",368,73,53,45,92,30,49,17,110,20,24,20,53,12,7,24,25,7,5,30,7,11,,27.0,5,11,6.0,,7.0,14,3,,,11.0,6,3.0,,5.0,6.0,,,11.0,,,18.0,13.0,4,,,,Greece,GRC
Grenada,585,423,,14,14,,5,,5,7,8,,,,,,,,7,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,Grenada,GRD
Guatemala,"13,002","1,180","2,095",654,626,310,308,"1,035",185,416,273,87,96,99,149,310,18,145,53,76,60,45,115,54,75.0,147,61,66.0,56,19.0,396,30,65.0,4,142.0,,17.0,62,67.0,14.0,63,64.0,19.0,43,14,55.0,20.0,28,10,96,16,Guatemala,GTM
Guinea,"1,501",720,,3,105,13,10,9,12,32,95,28,,82,,,6,4,,34,,,,10,19.0,4,3,10.0,,76.0,10,20,,,,,6.0,,4.0,3.0,3,6.0,,,,,3.0,,,,,Guinea,GIN
Guinea-Bissau,37,,,,,,,,,10,6,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,Guinea-Bissau,GNB
Guyana,"5,771","4,182",26,172,122,13,15,3,20,43,100,3,,47,4,,9,15,184,55,38,7,,3,34.0,,,10.0,3,5.0,,,4.0,,3.0,,7.0,4,,19.0,,,55.0,,,,13.0,,,18,,Guyana,GUY
Haiti,"23,584","5,928",35,"7,975",203,106,44,34,28,"1,855",279,25,,431,22,9,10,26,"1,481",26,290,7,16,23,24.0,12,15,36.0,14,45.0,117,21,31.0,4,334.0,,9.0,7,36.0,171.0,20,6.0,50.0,,7,58.0,3.0,,4,305,7,Haiti,HTI
Honduras,"13,302","2,000",893,"1,753",762,208,928,265,386,268,276,88,66,105,50,149,28,54,127,71,164,20,88,49,117.0,40,143,212.0,101,42.0,53,72,66.0,15,62.0,,105.0,35,90.0,62.0,20,12.0,29.0,14,28,17.0,,13,13,84,13,Honduras,HND
Hong Kong,"2,510",446,483,44,52,49,38,369,57,77,22,117,154,34,24,25,15,8,8,11,,49,20,6,22.0,15,11,4.0,4,7.0,3,,,,7.0,40,4.0,,7.0,,,,,5,5,,3.0,,,,,Hong Kong,HKG
Hungary,"1,048",182,88,79,30,26,18,32,18,23,11,16,34,13,17,12,9,12,15,7,22,11,15,9,,16,24,7.0,,,,4,3.0,3,19.0,9,10.0,5,12.0,11.0,,,,,,,,,,4,,Hungary,HUN
