Country,Total,"New York-Newark-Jersey City, NY-NJ-PA","Miami-Fort Lauderdale-Pompano Beach, FL","Los Angeles-Long Beach-Anaheim, CA","Washington-Arlington-Alexandria, DC-VA-MD-WV","Houston-The Woodlands-Sugar Land, TX","Chicago-Naperville-Elgin, IL-IN-WI","San Francisco-Oakland-Berkeley, CA","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Newton, MA-NH","Atlanta-Sandy Springs-Alpharetta, GA","San Jose-Sunnyvale-Santa Clara, CA","Seattle-Tacoma-Bellevue, WA","San Diego-Chula Vista-Carlsbad, CA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Riverside-San Bernardino-Ontario, CA","Tampa-Saint Petersburg-Clearwater, FL","Minneapolis-Saint Paul-Bloomington, MN-WI","Orlando-Kissimmee-Sanford, FL","Phoenix-Mesa-Chandler, AZ","Detroit-Warren-Dearborn, MI","Sacramento-Roseville-Folsom, CA","Austin-Round Rock-Georgetown, TX","Denver-Aurora-Lakewood, CO","Las Vegas-Henderson-Paradise, NV","Portland-Vancouver-Hillsboro, OR-WA","Baltimore-Columbia-Towson, MD","Columbus, OH","San Antonio-New Braunfels, TX","Charlotte-Concord-Gastonia, NC-SC","Louisville/Jefferson County, KY-IN","Providence-Warwick, RI-MA","Indianapolis-Carmel-Anderson, IN","Nashville-Davidson--Murfreesboro--Franklin, TN","Raleigh-Cary, NC","Kansas City, MO-KS","Bridgeport-Stamford-Norwalk, CT","Jacksonville, FL","El Paso, TX","Urban Honolulu, HI","Cincinnati, OH-KY-IN","Salt Lake City, UT","Fresno, CA","Saint Louis, MO-IL","Hartford-East Hartford-Middletown, CT","Cleveland-Elyria, OH","Cape Coral-Fort Myers, FL","Worcester, MA-CT","Milwaukee-Waukesha, WI","McAllen-Edinburg-Mission, TX","Stockton, CA",NAME_LONG,ISO_A3
Monaco,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monaco,MCO
Mongolia,636,11,,41,116,,96,123,3,3,4,7,29,,3,,,,,6,,13,,37,5,3,6.0,,,4,,,,,,6.0,,,,,,8.0,,5.0,,,,,,,,Mongolia,MNG
Montenegro,299,154,3,6,3,,20,,6,4,,,,,,,,,,3,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,Montenegro,MNE
Montserrat,20,10,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Montserrat,MSR
Morocco,"3,077",530,64,79,277,30,97,48,53,289,53,22,29,23,121,14,49,31,134,20,23,16,29,45,12,9,29.0,49.0,14,9,13,24,20.0,6.0,65.0,7.0,13.0,9.0,,10,37.0,3.0,,8.0,18.0,13.0,,8.0,8.0,4,3,Morocco,MAR
Mozambique,100,4,,,7,,6,,,3,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,3.0,,,5.0,,,Mozambique,MOZ
Namibia,75,4,,,,,,,,,3,,3,,,,,,,3,,,,5,,,,,,,,,8.0,,,,,,,,,,,,3.0,,,,,,,Namibia,NAM
Nauru,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nauru,NRU
Nepal,"11,953","1,280",35,239,909,244,277,497,908,406,223,123,228,24,128,45,9,158,11,75,49,87,190,275,18,63,469.0,413.0,37,78,126,33,31.0,73.0,102.0,80.0,19.0,13.0,5,48,102.0,64.0,4,68.0,46.0,76.0,3,55.0,20.0,4,6,Nepal,NPL
Netherlands,998,115,27,75,36,47,32,66,7,30,15,44,30,11,10,11,20,21,6,17,9,17,3,5,4,9,7.0,5.0,6,5,,,3.0,,4.0,4.0,8.0,5.0,,3,,,,5.0,5.0,6.0,4,,3.0,,,Netherlands,NLD
