Supplemental Table 2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS OBTAINING LAWFUL PERMANENT RESIDENT STATUS BY LEADING CORE BASED STATISTICAL AREAS (CBSA) OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,"New York-Newark-Jersey City, NY-NJ-PA","Los Angeles-Long Beach-Anaheim, CA","Miami-Fort Lauderdale-West Palm Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Houston-The Woodlands-Sugar Land, TX","Chicago-Naperville-Elgin, IL-IN-WI","San Francisco-Oakland-Hayward, CA","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Newton, MA-NH","Atlanta-Sandy Springs-Roswell, GA","Seattle-Tacoma-Bellevue, WA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","San Jose-Sunnyvale-Santa Clara, CA","San Diego-Carlsbad, CA","Riverside-San Bernardino-Ontario, CA","Phoenix-Mesa-Scottsdale, AZ","Tampa-Saint Petersburg-Clearwater, FL","Minneapolis-Saint Paul-Bloomington, MN-WI","Sacramento--Roseville--Arden-Arcade, CA","Orlando-Kissimmee-Sanford, FL","Detroit-Warren-Dearborn, MI","Las Vegas-Henderson-Paradise, NV","Denver-Aurora-Lakewood, CO","Baltimore-Columbia-Towson, MD","Austin-Round Rock, TX","Portland-Vancouver-Hillsboro, OR-WA","Charlotte-Concord-Gastonia, NC-SC","Columbus, OH","San Antonio-New Braunfels, TX","Indianapolis-Carmel-Anderson, IN","Providence-Warwick, RI-MA","Nashville-Davidson--Murfreesboro--Franklin, TN","Raleigh, NC","Kansas City, MO-KS","Louisville/Jefferson County, KY-IN","Bridgeport-Stamford-Norwalk, CT","El Paso, TX","Jacksonville, FL","Urban Honolulu, HI","Salt Lake City, UT","Cincinnati, OH-KY-IN","Hartford-West Hartford-East Hartford, CT","Saint Louis, MO-IL","Worcester, MA-CT","Stockton-Lodi, CA","Fresno, CA","Milwaukee-Waukesha-West Allis, WI","Cleveland-Elyria, OH","Cape Coral-Fort Myers, FL","San Juan-Carolina-Caguas, PR",Non-CBSA,Other & Unknown
Cyprus,117,31,8,D,D,D,7,10,D,3,-,3,5,D,D,D,D,D,-,3,D,D,D,-,-,D,-,D,D,-,-,-,D,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,D,23
Czechia,582,60,36,17,24,8,57,18,13,18,11,13,6,19,9,4,7,21,6,4,7,5,D,10,3,6,4,4,D,D,D,3,-,7,3,D,6,D,D,D,-,-,D,3,3,-,-,-,3,8,D,7,134
Czechoslovakia (former),52,3,5,4,4,D,4,7,-,-,D,-,D,D,D,-,-,-,-,-,-,-,-,D,-,D,D,-,-,-,-,-,D,D,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,12
Denmark,461,87,32,12,13,26,12,33,13,12,9,19,D,31,14,D,3,4,3,D,3,D,3,4,3,6,D,D,4,D,D,3,D,8,-,D,3,-,3,3,5,D,D,-,-,-,-,D,-,-,-,9,65
Djibouti,222,3,-,-,7,-,4,-,7,-,-,8,-,D,-,D,7,5,39,-,-,-,-,6,3,-,D,-,6,-,-,-,-,D,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,116
Dominica,510,134,-,28,13,22,7,D,6,12,17,D,9,-,-,-,-,16,-,-,21,D,-,-,6,-,-,D,4,D,-,D,-,D,3,-,5,-,3,-,-,D,D,-,-,-,-,D,-,-,3,127,61
Dominican Republic,"58,520","33,410",102,"2,210",462,181,170,34,121,"5,054",322,24,"1,817",8,19,24,64,498,44,9,943,83,72,28,130,13,6,205,102,26,50,"1,565",22,164,35,17,358,11,98,6,27,66,194,17,349,D,D,35,65,92,"2,363",621,"6,181"
Ecuador,"10,594","5,990",228,721,186,116,326,33,94,100,68,13,145,9,12,53,29,122,262,18,168,10,34,13,34,28,6,134,11,12,6,23,20,13,10,7,242,6,15,D,15,14,51,17,46,-,D,-,17,11,8,44,"1,048"
Egypt,"9,834","2,740",872,116,419,221,201,121,272,218,72,193,306,71,62,220,38,198,124,23,125,114,27,23,92,34,45,35,60,33,50,52,660,44,25,17,20,5,35,D,10,26,26,17,84,18,16,30,76,9,D,60,"1,476"
El Salvador,"25,109","3,117","4,549",562,"3,693","1,856",196,"1,277","1,086",779,348,169,93,216,50,455,95,93,110,109,88,25,376,120,306,115,51,234,60,96,70,92,111,92,73,17,59,8,20,5,88,15,21,12,75,63,150,17,28,32,31,195,"3,511"
Equatorial Guinea,20,D,-,-,D,4,-,-,3,-,D,-,-,-,-,-,-,D,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
Eritrea,"2,449",29,42,7,259,79,47,174,96,43,94,213,32,38,32,D,43,10,62,11,7,5,91,59,48,13,18,63,74,15,24,3,14,22,6,19,10,D,15,-,25,32,-,18,D,D,D,17,D,-,-,10,521
Estonia,176,24,8,11,4,D,7,18,D,5,D,9,3,13,D,D,D,5,D,3,D,-,3,-,9,D,D,-,D,-,-,-,D,-,-,-,D,-,3,D,D,D,-,-,D,-,-,-,-,-,-,D,23
