Country,Total,"New York-Northern New Jersey-Long Island, NY-NJ-PA","Los Angeles-Long Beach-Santa Ana, CA","Miami-Fort Lauderdale-Pompano Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Chicago-Joliet-Naperville, IL-IN-WI","San Francisco-Oakland-Fremont, CA","Houston-Sugar Land-Baytown, TX","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Quincy, MA-NH","Atlanta-Sandy Springs-Marietta, GA","San Diego-Carlsbad-San Marcos, CA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","San Jose-Sunnyvale-Santa Clara, CA","Seattle-Tacoma-Bellevue, WA","Riverside-San Bernardino-Ontario, CA","Phoenix-Mesa-Glendale, AZ","Detroit-Warren-Livonia, MI","Orlando-Kissimmee-Sanford, FL","Minneapolis-St. Paul-Bloomington, MN-WI","Denver-Aurora-Broomfield, CO","Tampa-St. Petersburg-Clearwater, FL","Las Vegas-Paradise, NV","Sacramento--Arden-Arcade--Roseville, CA","Baltimore-Towson, MD","Portland-Vancouver-Hillsboro, OR-WA","Austin-Round Rock-San Marcos, TX","El Paso, TX","Honolulu, HI","San Antonio-New Braunfels, TX","Charlotte-Gastonia-Rock Hill, NC-SC","Columbus, OH","Providence-New Bedford-Fall River, RI-MA","Bridgeport-Stamford-Norwalk, CT","Salt Lake City, UT","Nashville-Davidson--Murfreesboro--Franklin, TN","Kansas City, MO-KS","Hartford-West Hartford-East Hartford, CT","Indianapolis-Carmel, IN","Raleigh-Cary, NC","St. Louis, MO-IL","Jacksonville, FL","McAllen-Edinburg-Mission, TX","Worcester, MA","Tucson, AZ","Oxnard-Thousand Oaks-Ventura, CA","Fresno, CA","San Juan-Caguas-Guaynabo, PR","Stockton, CA","Milwaukee-Waukesha-West Allis, WI","Cleveland-Elyria-Mentor, OH",NAME,ISO_A3
Chile,"1,853",266,100,353,77,35,37,62,40,27,45,13,29,12,25,17,18,3,26,19.0,26,17,10,8,18.0,17.0,12,,,8,18.0,3.0,3,15.0,28.0,6.0,,9.0,8.0,6.0,6.0,3.0,,5.0,5,6,,14,16.0,6.0,3.0,Chile,CHL
"China, People's Republic","87,016","28,390","10,113",682,"1,924","2,479","7,479","1,539","1,047","2,699","1,032",762,"1,886","2,557","1,625",709,540,493,323,465.0,425,280,610,660,587.0,573.0,284,33,814,132,221.0,281.0,196,187.0,199.0,154.0,204.0,176.0,258.0,254.0,356.0,121.0,24,143.0,108,149,86,63,103.0,173.0,282.0,"China, People's Republic",CHN
Colombia,"22,635","5,089",623,"5,833",513,340,158,804,349,597,715,102,210,74,97,149,89,26,950,83.0,82,574,94,38,78.0,39.0,56,19,9,75,199.0,18.0,208,269.0,63.0,38.0,39.0,100.0,25.0,74.0,26.0,107.0,20,43.0,20,24,12,130,7.0,37.0,26.0,Colombia,COL
Comoros,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,Comoros,COM
"Congo, Democratic Republic","2,424",51,31,7,92,39,12,61,231,63,146,20,14,4,39,4,84,16,9,36.0,85,,25,12,29.0,36.0,11,,,34,91.0,13.0,,14.0,32.0,9.0,7.0,,15.0,51.0,38.0,6.0,,13.0,33,,,,,7.0,3.0,"Congo, Democratic Republic",COD
"Congo, Republic","1,371",46,23,6,70,29,6,54,101,32,86,4,23,6,30,5,22,11,,17.0,31,,9,3,16.0,15.0,21,,,6,62.0,10.0,6,6.0,8.0,8.0,8.0,,12.0,40.0,23.0,7.0,,4.0,10,,3,,,5.0,,"Congo, Republic",COG
Cook Islands,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cook Islands,COK
Costa Rica,"2,135",501,67,270,46,16,19,58,37,45,63,14,48,11,18,28,23,6,55,11.0,5,35,7,8,7.0,5.0,11,4,,8,41.0,,5,22.0,,10.0,7.0,,4.0,4.0,10.0,13.0,,5.0,,10,,8,,4.0,7.0,Costa Rica,CRI
Croatia,349,71,25,12,16,20,5,6,8,12,5,7,4,7,4,3,3,3,,,,8,4,,,,3,,,,,3.0,,,4.0,,,,,,3.0,4.0,,,,,,,,3.0,4.0,Croatia,HRV
Cuba,"36,452",940,191,"25,116",64,104,41,508,215,40,179,43,56,5,17,47,221,6,597,17.0,27,"2,152",672,3,17.0,78.0,225,14,,47,73.0,7.0,,10.0,11.0,62.0,127.0,16.0,12.0,27.0,34.0,222.0,13,4.0,45,4,,125,,10.0,6.0,Cuba,CUB
Cyprus,101,26,13,3,3,,5,,,3,,,,,3,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,Cyprus,CYP
Czechia,303,36,19,10,16,20,17,4,3,7,9,9,5,6,10,3,,7,3,,,4,3,,3.0,4.0,,,,3,3.0,,,,,,,,,,,,,,,,,,,,,Czechia,CZE
Denmark,459,58,46,17,16,8,18,10,12,7,15,14,5,5,15,,,5,13,6.0,8,4,5,5,4.0,6.0,7,,,,5.0,,,9.0,,,,3.0,3.0,6.0,,,,,,,,,,,3.0,Denmark,DNK
Djibouti,56,,,,8,,,,3,,,,,,10,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Djibouti,DJI
Dominica,287,100,,20,5,,,13,,8,11,,7,,,,,,,,,6,,,,,,,,,,,,4.0,,,,6.0,,,,,,,,,,4,,,,Dominica,DMA
Dominican Republic,"46,109","28,569",62,"1,979",500,133,22,138,73,"3,478",199,19,934,8,17,14,52,37,612,23.0,16,285,54,5,96.0,8.0,17,7,,18,138.0,59.0,"1,069",272.0,21.0,12.0,41.0,162.0,72.0,72.0,8.0,37.0,9,246.0,8,,,"2,059",,34.0,47.0,Dominican Republic,DOM
Ecuador,"11,103","6,104",317,998,204,393,36,136,80,88,113,22,115,12,23,68,35,9,152,136.0,22,105,29,12,25.0,,10,6,,6,211.0,7.0,35,211.0,39.0,17.0,18.0,42.0,13.0,13.0,13.0,20.0,6,44.0,6,4,5,21,6.0,7.0,6.0,Ecuador,ECU
Egypt,"7,778","2,369",723,95,326,123,76,120,161,173,51,59,242,38,91,182,41,102,69,80.0,22,97,13,31,55.0,40.0,11,,,15,43.0,44.0,55,15.0,9.0,592.0,18.0,21.0,38.0,42.0,13.0,22.0,,82.0,,18,17,,5.0,14.0,96.0,Egypt,EGY
