Country,Total,"New York-Northern New Jersey-Long Island, NY-NJ-PA","Los Angeles-Long Beach-Santa Ana, CA","Miami-Fort Lauderdale-Pompano Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Chicago-Naperville-Joliet, IL-IN-WI","San Francisco-Oakland-Fremont, CA","Houston-Sugar Land-Baytown, TX","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Quincy, MA-NH","Atlanta-Sandy Springs-Marietta, GA","San Diego-Carlsbad-San Marcos, CA","San Jose-Sunnyvale-Santa Clara, CA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Seattle-Tacoma-Bellevue, WA","Riverside-San Bernardino-Ontario, CA","Detroit-Warren-Livonia, MI","Phoenix-Mesa-Scottsdale, AZ","Orlando-Kissimmee, FL","Minneapolis-St. Paul-Bloomington, MN-WI","Las Vegas-Paradise, NV","Tampa-St. Petersburg-Clearwater, FL","Denver-Aurora-Broomfield, CO","Baltimore-Towson, MD","Sacramento--Arden-Arcade--Roseville, CA","Portland-Vancouver-Beaverton, OR-WA","Austin-Round Rock, TX","Honolulu, HI","Providence-New Bedford-Fall River, RI-MA","San Antonio, TX","El Paso, TX","Bridgeport-Stamford-Norwalk, CT","Columbus, OH","Kansas City, MO-KS","Charlotte-Gastonia-Concord, NC-SC","Raleigh-Cary, NC","Nashville-Davidson--Murfreesboro--Franklin, TN","San Juan-Caguas-Guaynabo, PR","Salt Lake City, UT","Hartford-West Hartford-East Hartford, CT","Indianapolis-Carmel, IN","Saint Louis, MO-IL","Jacksonville, FL","Worcester, MA","Cleveland-Elyria-Mentor, OH","Oxnard-Thousand Oaks-Ventura, CA","Stockton, CA","Fresno, CA","Tucson, AZ","Cincinnati-Middletown, OH-KY-IN","Virginia Beach-Norfolk-Newport News, VA-NC"
Australia,2512,343,267,44,45,49,103,42,49,50,41,57,58,29,80,24,18,33,11,34,33,27,39,19,10,27,14,16,4,9,,14,11,12,10,14,33,,25,8,14,12,10,7,17,13,6,,7,7,20
Austria,442,89,44,16,13,18,22,9,4,9,,7,5,5,14,5,4,6,,3,,3,4,,,6,4,5,,,,,,,4,,,,3,,,,,,3,,,,,,4
Azerbaijan,781,186,127,5,44,16,26,56,7,19,8,16,13,18,37,,7,,4,4,5,,4,9,7,10,3,,,,,,,4,12,,,,,,,,3,,6,,,,,3,3
Bahamas,652,35,6,322,6,6,,16,4,,39,,,10,,,,3,29,,,13,,4,,,,,,,,,5,,4,,4,,,,,,4,,,,,,,,5
Bahrain,104,13,4,3,4,3,,5,6,,,,4,4,,,6,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,14819,8108,494,320,767,129,58,213,312,198,379,19,76,545,41,103,771,71,100,41,23,58,15,55,38,27,74,5,24,15,,119,67,22,6,47,8,,5,73,30,19,24,10,14,20,,,,6,11
Barbados,465,245,4,34,14,6,3,4,,27,9,,,10,,,,,9,,,4,,7,,,,,3,,,4,,,4,,,,,4,,,,,,,,,,,
Belarus,2038,549,61,43,43,118,57,18,17,66,36,9,30,134,51,7,15,3,10,88,14,11,36,20,56,24,4,5,5,,,16,9,,12,5,6,,,6,14,10,20,4,13,,,,,9,12
Belgium,592,115,32,16,27,22,17,15,13,9,19,4,10,9,10,4,10,14,5,6,5,3,3,4,5,6,5,,4,,,5,,,8,5,,,,3,,,6,,,,,,,6,
Belize,965,134,309,23,15,92,7,42,18,4,17,8,,8,,17,4,8,6,,19,10,,4,4,3,6,,,11,,,,,,,,,3,,,,6,,,,,,,,6
Benin,486,46,7,3,79,39,,7,13,3,20,,,26,5,,,5,,4,8,5,18,12,3,,,,,,,,4,,3,10,,,,3,24,,,3,,,,,,,10
Bermuda,72,7,3,4,5,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,4
Bhutan,6109,80,11,,77,191,126,146,292,47,625,25,26,,296,5,,208,,77,33,,304,103,42,72,10,,5,73,,,9,63,11,47,56,,162,,,92,113,86,85,,,,138,86,18
Bolivia,2253,237,120,190,900,23,25,82,30,40,13,15,9,13,8,19,,5,10,11,10,28,19,15,4,,5,,56,,5,5,,4,3,3,,,9,10,,9,15,,,3,,,5,,5
Bosnia-Herzegovina,946,53,24,9,18,70,12,13,15,25,42,11,22,13,17,4,34,26,8,10,12,24,12,,4,10,,,,,,,3,3,4,,,,16,8,3,75,19,,11,,,,,5,
Botswana,66,6,,,6,,,,,,3,,,,,,,5,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,
Brazil,12258,1842,502,1863,278,206,385,214,206,1334,403,203,94,119,137,44,51,75,417,47,73,144,57,59,34,26,56,40,153,29,6,239,21,39,33,42,29,8,100,56,29,57,38,203,12,12,4,12,13,38,19
British Virgin Islands,46,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,2570,274,147,92,104,431,58,34,47,89,67,22,24,41,69,11,29,37,20,17,85,34,24,22,11,27,10,10,12,11,,14,10,10,9,11,6,,8,3,9,28,5,,4,,,3,,15,10
Burkina Faso,377,159,3,,33,13,,18,3,3,8,,,10,9,,,,,6,,,5,4,,,,,,,,,3,,,,,,,,3,,,,,,,,,7,
Burma,12925,373,366,65,226,290,440,236,792,73,512,141,69,103,187,13,,322,39,481,14,29,266,235,14,100,102,7,,34,11,,27,187,100,102,191,,139,89,584,38,130,37,26,3,8,3,19,21,13
Burundi,841,18,,,30,20,,28,50,25,23,7,,3,10,,,18,,,,,9,,,17,8,,11,16,,,,7,,10,5,,20,,,4,3,,18,,,,10,8,
Cambodia,2986,48,508,4,99,40,95,99,83,312,50,52,54,133,201,68,6,26,12,124,11,24,22,,18,26,4,3,77,3,,16,15,10,20,,8,,25,10,,,30,13,11,7,53,15,7,16,5
Cameroon,4161,231,95,13,1378,107,37,186,172,142,205,11,34,82,24,10,47,20,24,155,15,11,32,211,10,5,27,3,8,8,,,54,32,33,14,9,,11,3,12,9,,33,5,,,,5,40,16
Canada,13328,1125,787,429,254,348,411,387,272,391,278,219,271,189,461,127,392,328,113,164,138,174,145,96,89,124,97,56,38,39,7,76,85,76,90,86,87,3,65,60,61,53,46,48,86,43,20,15,23,81,49
Cape Verde,1668,29,,,4,,,,,1070,,,,,,,,,14,,,,,,,,,,468,,,14,,,,,,,,,,,,8,,,,,,,
Cayman Islands,52,8,,14,,,,,,,,,,3,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,101,12,,,13,,,3,4,,,,,,,,,5,,,,,,4,,,,,,,,,4,12,,,,,5,,,,,,,,,,,3,
Chad,120,27,,,15,,,,3,,,,,9,,,,,,,,,,6,,,,,,,,,,,,,,,,,3,,,4,,,,,,,
Chile,1950,317,111,374,85,24,45,38,30,47,43,13,12,21,26,22,4,15,26,14,16,15,20,17,14,24,13,,,11,,10,,7,12,9,,15,57,3,4,8,9,,4,3,5,6,7,5,3
"China, People's Republic",70863,19811,7087,537,1948,1904,6782,1566,935,2354,853,651,2290,1600,1429,547,498,393,266,522,492,247,328,595,546,622,297,554,188,155,21,178,281,229,175,230,178,52,149,149,289,342,120,178,296,163,132,45,108,211,133
Colombia,22406,5295,576,5815,480,354,150,756,307,502,623,86,67,231,111,136,23,105,1076,61,94,571,59,81,31,32,80,,259,87,20,252,33,38,146,62,33,137,78,82,37,27,139,40,28,23,9,,18,21,49
