Country,Total,"New York-Northern New Jersey-Long Island, NY-NJ-PA","Los Angeles-Long Beach-Santa Ana, CA","Miami-Fort Lauderdale-Pompano Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Chicago-Joliet-Naperville, IL-IN-WI","Houston-Sugar Land-Baytown, TX","San Francisco-Oakland-Fremont, CA","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Quincy, MA-NH","Atlanta-Sandy Springs-Marietta, GA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Seattle-Tacoma-Bellevue, WA","San Jose-Sunnyvale-Santa Clara, CA","San Diego-Carlsbad-San Marcos, CA","Riverside-San Bernardino-Ontario, CA","Detroit-Warren-Livonia, MI","Phoenix-Mesa-Glendale, AZ","Minneapolis-St. Paul-Bloomington, MN-WI","Orlando-Kissimmee-Sanford, FL","Baltimore-Towson, MD","Las Vegas-Paradise, NV","Tampa-St. Petersburg-Clearwater, FL","Sacramento--Arden-Arcade--Roseville, CA","Denver-Aurora-Broomfield, CO","Austin-Round Rock-San Marcos, TX","Portland-Vancouver-Hillsboro, OR-WA","El Paso, TX","San Antonio-New Braunfels, TX","Charlotte-Gastonia-Rock Hill, NC-SC","Columbus, OH","Honolulu, HI","Bridgeport-Stamford-Norwalk, CT","Nashville-Davidson--Murfreesboro--Franklin, TN","Providence-New Bedford-Fall River, RI-MA","Indianapolis-Carmel, IN","Raleigh-Cary, NC","Kansas City, MO-KS","Salt Lake City, UT","Hartford-West Hartford-East Hartford, CT","McAllen-Edinburg-Mission, TX","St. Louis, MO-IL","Jacksonville, FL","Cleveland-Elyria-Mentor, OH","Fresno, CA","Worcester, MA","Oxnard-Thousand Oaks-Ventura, CA","Cincinnati-Middletown, OH-KY-IN","San Juan-Caguas-Guaynabo, PR","Milwaukee-Waukesha-West Allis, WI","Pittsburgh, PA",NAME_LONG,ISO_A3
Cayman Islands,44,6,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cayman Islands,CYM
Central African Republic,213,10,,,28,6,3,,,,21,,3,,3,,5,8,,,6.0,,,,6,5,,,3,,6.0,,,,,,,,14.0,,,,,,,19.0,,11.0,,,,Central African Republic,CAF
Chad,111,26,,,8,6,3,,4,,5,,,,,,,4,,,,,,,3,4,,,,,,,,,,,,,4.0,,,,,,,6.0,,3.0,,,,Chad,TCD
Chile,"1,736",254,109,287,87,18,38,38,36,31,38,22,15,11,12,16,6,9,14.0,38,15.0,15,13,7,24,8,13.0,5,9,10.0,4.0,10,14.0,4.0,4.0,6.0,13.0,3.0,39.0,9.0,7,9.0,7.0,5.0,6,,8,,8,4.0,,Chile,CHL
"China, People's Republic","71,798","19,645","9,391",553,"2,027","1,977","1,692","5,768",945,"2,220","1,005","1,391","1,543","2,235",681,712,431,375,427.0,300,547.0,568,186,506,284,243,478.0,16,94,146.0,247.0,514,142.0,156.0,151.0,207.0,264.0,173.0,134.0,173.0,13,279.0,93.0,231.0,73,110.0,171,160.0,50,150.0,249.0,"China, People's Republic",CHN
Colombia,"21,131","5,059",534,"4,904",529,325,866,152,335,508,621,243,103,56,77,145,43,91,72.0,894,59.0,86,529,32,80,64,26.0,32,94,193.0,26.0,10,306.0,42.0,198.0,44.0,57.0,39.0,73.0,89.0,20,33.0,107.0,32.0,8,18.0,24,27.0,157,34.0,20.0,Colombia,COL
"Congo, Democratic Republic","2,792",77,49,3,154,39,88,19,297,62,105,20,93,,36,8,11,31,18.0,12,27.0,10,10,6,45,13,11.0,,12,108.0,29.0,,20.0,22.0,,13.0,58.0,12.0,37.0,,,23.0,14.0,7.0,3,5.0,,37.0,,32.0,4.0,"Congo, Democratic Republic",COD
"Congo, Republic","1,059",50,32,,57,41,30,4,105,25,56,9,15,,3,6,,13,16.0,4,12.0,,7,3,21,,3.0,,8,48.0,8.0,,4.0,5.0,5.0,8.0,26.0,6.0,6.0,,,11.0,3.0,,5,,,10.0,,5.0,3.0,"Congo, Republic",COG
Costa Rica,"2,114",517,88,224,62,33,54,25,55,23,45,43,16,14,15,14,,9,15.0,36,12.0,15,41,6,15,22,10.0,,6,36.0,,,26.0,11.0,4.0,7.0,22.0,,5.0,,,,19.0,,,5.0,,5.0,7,10.0,,Costa Rica,CRI
Croatia,353,61,28,13,11,35,9,6,,8,5,6,,9,5,,,6,4.0,,5.0,11,3,,6,,,,4,,,,4.0,,,,,,3.0,,,6.0,,4.0,,,,3.0,,5.0,3.0,Croatia,HRV
Cuba,"32,219",743,121,"22,171",45,66,630,27,136,32,123,38,11,9,34,37,8,197,24.0,613,10.0,588,"1,870",6,17,227,76.0,9,38,52.0,12.0,,7.0,34.0,4.0,4.0,27.0,56.0,14.0,6.0,23,10.0,262.0,11.0,,12.0,,3.0,55,7.0,,Cuba,CUB
Cyprus,126,27,11,,6,3,3,3,,7,,8,5,5,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,Cyprus,CYP
Czechia,676,68,31,24,24,52,13,27,,19,12,10,18,10,12,6,7,7,4.0,14,4.0,10,20,,15,4,6.0,,,3.0,,4,6.0,8.0,,4.0,10.0,,,,,,4.0,,,3.0,,,,,5.0,Czechia,CZE
Denmark,506,60,39,16,17,18,25,44,7,22,18,7,20,13,11,8,,,4.0,5,,10,,3,6,,12.0,,3,,,,7.0,,,,8.0,,,,,,,,,,3,6.0,,4.0,,Denmark,DNK
Djibouti,90,,,,8,,,,3,,,,4,,,,,,10.0,,,,,,3,,,,,,7.0,,,,,,,,7.0,,,,,,,,,,,,,Djibouti,DJI
Dominica,244,72,,11,13,,12,,,13,5,3,,,,,3,,,3,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dominica,DMA
Dominican Republic,"41,311","24,891",51,"2,102",384,86,133,25,81,"2,902",179,"1,106",25,,17,6,44,44,35.0,644,100.0,34,267,7,9,10,4.0,4,26,97.0,68.0,,263.0,18.0,901.0,36.0,77.0,29.0,17.0,128.0,13,10.0,48.0,29.0,,185.0,,25.0,"1,937",22.0,,Dominican Republic,DOM
Ecuador,"10,591","5,893",335,871,193,450,107,36,69,79,83,95,16,6,13,51,9,23,145.0,143,25.0,33,88,5,13,8,13.0,8,8,189.0,11.0,6,280.0,11.0,23.0,7.0,17.0,16.0,26.0,35.0,,8.0,21.0,8.0,,27.0,4,9.0,16,,,Ecuador,ECU
Egypt,"10,294","3,151","1,161",101,489,184,191,147,229,207,80,240,150,44,47,275,87,43,77.0,200,76.0,23,212,32,12,33,55.0,4,14,31.0,46.0,5,12.0,712.0,80.0,54.0,72.0,18.0,,11.0,,15.0,14.0,116.0,18,58.0,16,23.0,,11.0,23.0,Egypt,EGY
El Salvador,"18,260","2,136","3,848",389,"3,078",113,"1,501",783,622,503,251,49,99,138,52,375,9,109,106.0,51,176.0,247,54,73,74,81,46.0,9,64,98.0,25.0,4,38.0,61.0,39.0,41.0,63.0,45.0,66.0,18.0,7,5.0,15.0,14.0,128,50.0,46,6.0,8,6.0,,El Salvador,SLV
Equatorial Guinea,18,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equatorial Guinea,GNQ
Eritrea,"2,138",31,62,6,333,42,108,138,95,41,97,18,190,50,29,3,7,28,47.0,6,27.0,58,,9,70,16,25.0,,10,29.0,39.0,,3.0,10.0,,19.0,19.0,3.0,10.0,,,17.0,11.0,,,,,11.0,,12.0,,Eritrea,ERI
Estonia,211,36,15,13,14,8,,10,7,,,5,6,,,,,,6.0,3,3.0,,,,6,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,Estonia,EST
Ethiopia,"13,097",198,293,34,"2,968",197,293,268,586,281,654,150,952,227,170,26,33,110,862.0,19,194.0,477,39,84,540,76,153.0,,31,74.0,204.0,5,12.0,151.0,8.0,61.0,59.0,119.0,51.0,8.0,,76.0,65.0,16.0,19,7.0,4,64.0,,24.0,6.0,Ethiopia,ETH
