Supplemental Table 2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS OBTAINING LAWFUL PERMANENT RESIDENT STATUS BY LEADING CORE BASED STATISTICAL AREAS (CBSA) OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,"New York-Newark-Jersey City, NY-NJ-PA","Los Angeles-Long Beach-Anaheim, CA","Miami-Fort Lauderdale-Pompano Beach, FL","San Francisco-Oakland-Berkeley, CA","Houston-The Woodlands-Sugar Land, TX","Chicago-Naperville-Elgin, IL-IN-WI","Washington-Arlington-Alexandria, DC-VA-MD-WV","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Newton, MA-NH","Seattle-Tacoma-Bellevue, WA","San Jose-Sunnyvale-Santa Clara, CA","Atlanta-Sandy Springs-Alpharetta, GA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Detroit-Warren-Dearborn, MI","Phoenix-Mesa-Chandler, AZ","San Diego-Chula Vista-Carlsbad, CA","Riverside-San Bernardino-Ontario, CA","Orlando-Kissimmee-Sanford, FL","Minneapolis-Saint Paul-Bloomington, MN-WI","Sacramento-Roseville-Folsom, CA","Austin-Round Rock-Georgetown, TX","Denver-Aurora-Lakewood, CO","Tampa-Saint Petersburg-Clearwater, FL","Las Vegas-Henderson-Paradise, NV","Portland-Vancouver-Hillsboro, OR-WA","Baltimore-Columbia-Towson, MD","San Antonio-New Braunfels, TX","Charlotte-Concord-Gastonia, NC-SC","Columbus, OH","Raleigh-Cary, NC","Indianapolis-Carmel-Anderson, IN","Nashville-Davidson--Murfreesboro--Franklin, TN","Kansas City, MO-KS","Salt Lake City, UT","Bridgeport-Stamford-Norwalk, CT","Providence-Warwick, RI-MA","Saint Louis, MO-IL","Cincinnati, OH-KY-IN","Cleveland-Elyria, OH","Hartford-East Hartford-Middletown, CT","El Paso, TX","McAllen-Edinburg-Mission, TX","Stockton, CA","Jacksonville, FL","Worcester, MA-CT","Pittsburgh, PA","Urban Honolulu, HI","Milwaukee-Waukesha, WI","Louisville/Jefferson County, KY-IN","Fresno, CA",Non-CBSA,Other & Unknown
Bhutan,"1,091",25,-,D,D,8,16,-,32,-,6,-,40,18,-,3,-,-,-,15,-,3,21,D,3,19,9,3,18,107,D,D,27,8,6,-,-,7,47,34,-,-,-,-,D,11,88,-,-,36,-,-,473
Bolivia,976,68,45,76,13,31,21,333,26,16,9,9,6,6,D,D,5,3,7,4,D,11,3,11,5,-,12,D,8,-,D,D,D,D,5,7,14,D,-,D,D,D,D,-,10,D,4,-,4,D,D,7,173
Bosnia and Herzegovina,477,48,13,11,12,6,45,6,17,17,10,10,17,D,11,20,D,D,D,D,D,D,9,5,6,3,D,3,5,3,-,-,D,D,8,D,-,30,D,D,3,-,-,-,6,-,D,D,3,6,D,4,114
Botswana,43,11,D,-,D,-,D,4,D,D,-,D,D,D,-,-,-,-,-,-,-,D,-,-,-,-,D,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,D,-,-,-,-,11
Brazil,"16,746","1,670",620,"2,364",586,382,354,283,355,"1,386",235,198,511,267,606,83,183,73,"1,172",108,23,198,80,210,89,84,65,36,137,45,96,45,55,69,141,248,142,97,45,52,49,3,5,7,107,215,38,33,21,17,14,93,"2,751"
Brunei,11,-,D,-,-,D,-,D,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,D,D,-,-,-,-,-,-,-,-,-,-,-,-,-,3
Bulgaria,"1,118",106,33,50,38,14,196,34,9,38,20,20,32,15,10,19,19,D,9,3,13,8,19,23,32,8,13,4,4,4,D,3,D,-,6,3,6,13,3,D,D,-,-,-,4,-,D,5,4,D,-,18,250
Burkina Faso,465,214,3,D,D,24,7,19,4,3,15,-,7,27,D,D,-,D,D,D,-,-,7,-,-,-,4,D,D,7,-,4,4,3,3,-,-,D,12,5,-,D,-,-,D,D,D,D,D,D,-,D,70
Burma,"4,000",122,117,12,237,98,191,32,196,21,52,21,186,18,4,64,10,D,5,183,4,17,48,13,5,65,44,26,64,21,10,311,42,61,32,6,D,5,10,D,3,-,-,13,29,4,13,3,221,26,5,25,"1,300"
Burundi,"1,099",5,D,-,-,17,D,10,87,6,13,D,25,6,-,61,9,-,D,27,-,14,9,13,-,3,16,23,D,10,14,15,13,14,32,-,19,D,18,13,7,-,-,-,-,-,9,-,D,26,-,-,557
Cabo Verde,995,8,-,3,D,-,-,D,-,630,-,-,D,D,-,-,-,-,D,D,-,-,-,-,-,-,D,-,-,-,-,D,D,-,-,D,289,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,47
Cambodia,"1,593",29,232,3,32,44,17,54,21,177,114,36,49,58,D,16,26,52,4,63,11,9,8,3,10,19,D,13,20,10,3,3,-,6,14,4,27,4,11,-,3,-,-,23,5,9,-,D,D,8,9,26,303
Cameroon,"2,842",105,49,5,27,141,60,766,114,76,25,17,143,49,37,45,7,6,5,134,D,33,12,11,12,15,128,16,31,94,4,27,6,23,8,3,9,8,23,10,3,D,5,-,6,21,5,D,10,5,D,11,487
Canada,"9,526",931,599,313,594,392,257,147,234,285,553,327,147,105,231,218,120,85,111,96,56,83,112,87,75,91,36,30,73,56,66,29,80,40,44,34,25,65,42,45,24,D,D,11,37,11,70,26,23,19,13,124,"2,247"
Cayman Islands,50,4,5,12,D,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,D,-,D,D,-,D,-,-,-,-,-,D,-,D,4,-,-,-,-,D,-,-,-,D,-,-,-,-,-,-,-,11
Central African Republic,148,4,-,D,-,3,7,9,6,-,6,-,11,3,D,-,3,-,-,D,D,D,5,D,-,4,D,-,-,D,D,D,-,D,11,-,-,-,D,3,-,-,-,-,3,4,-,-,-,-,-,-,52
Chad,111,9,-,-,D,3,D,4,5,-,4,-,4,D,-,-,7,D,D,-,-,-,-,-,-,-,3,D,D,3,-,-,-,D,5,-,-,-,D,-,-,-,-,-,3,3,-,-,-,D,-,D,45
Chile,"1,520",148,64,257,40,42,41,44,33,44,51,24,31,37,D,15,12,10,18,13,6,9,18,7,19,7,16,6,13,-,16,4,10,9,35,11,D,D,D,3,5,-,7,D,-,5,5,4,3,3,D,17,347
"China, People's Republic","41,483","8,199","5,952",336,"4,435",969,"1,254",924,749,"1,410","1,925","2,827",579,788,362,277,457,941,143,236,343,232,218,131,368,316,262,66,111,149,186,100,61,107,90,84,74,200,119,111,78,13,5,60,21,77,175,377,66,26,32,182,"4,280"
Colombia,"11,989","2,159",312,"2,696",158,557,282,253,237,372,87,60,314,154,28,67,43,78,475,48,25,63,71,301,89,34,42,68,103,26,57,26,33,43,56,91,79,31,18,17,49,18,15,D,56,31,25,12,22,14,D,53,"2,031"
Comoros,D,-,-,-,-,D,-,D,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D
"Congo, Democratic Republic","7,522",27,18,7,7,150,103,90,477,46,90,7,222,23,6,324,60,6,9,93,D,53,111,40,22,28,78,61,133,103,77,109,154,174,112,10,35,75,187,82,24,-,-,6,48,33,45,-,51,225,D,121,"3,555"
"Congo, Republic",308,28,5,D,D,8,10,16,13,D,4,-,4,7,D,13,-,-,3,3,D,-,12,-,-,5,D,D,3,5,5,D,-,D,D,-,-,D,13,D,-,-,-,-,-,D,-,-,D,-,-,5,124
Cook Islands,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D
Costa Rica,"1,658",294,59,134,25,32,22,39,49,32,30,27,39,33,6,24,6,11,47,23,21,18,18,39,9,15,4,22,31,3,11,7,18,5,5,25,4,D,D,10,5,D,D,4,D,12,6,-,D,D,3,30,387
Cote d'Ivoire,"1,049",236,10,3,5,20,9,80,63,13,23,D,60,60,9,14,7,D,-,24,6,4,17,5,3,D,13,6,15,7,5,8,4,6,3,-,D,8,25,41,D,-,-,-,D,D,-,-,D,D,D,7,214
Croatia,241,46,16,14,19,7,10,9,12,3,13,6,3,3,D,4,D,-,3,D,D,D,D,D,3,3,D,D,D,-,D,-,D,D,D,-,D,3,D,4,-,-,-,-,-,D,D,-,-,-,-,3,30
Cuba,"16,367",236,73,"8,981",27,"1,145",38,25,227,21,9,3,93,22,11,106,14,15,407,17,D,269,18,"1,211",378,46,10,98,32,3,9,12,60,31,6,D,5,7,5,3,6,6,11,-,142,5,D,-,6,407,D,75,"2,030"
Curacao,31,5,D,5,-,D,D,-,-,D,-,-,D,-,-,D,-,-,D,-,-,-,-,D,-,-,D,-,-,-,D,D,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5
Cyprus,105,28,5,5,3,4,4,4,4,4,D,D,5,D,D,-,D,-,-,-,-,D,-,-,D,-,D,-,-,-,-,-,-,-,D,D,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,D,25
Czechia,454,43,29,18,15,8,40,12,3,11,19,12,20,9,10,5,D,D,D,5,-,D,8,10,3,5,D,3,D,-,5,-,-,3,D,3,D,-,D,D,D,-,-,-,6,D,D,D,D,-,-,10,114
Czechoslovakia (former),69,9,3,5,4,3,8,-,D,D,8,D,D,-,-,-,-,D,-,-,D,D,D,-,-,-,-,-,-,D,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,3,10
Denmark,405,47,35,16,28,10,8,10,13,17,18,16,15,7,-,6,5,5,-,11,D,3,10,3,D,6,D,-,6,-,8,D,D,D,-,4,-,D,-,D,D,-,-,D,D,-,D,D,D,D,D,4,72
Djibouti,84,D,-,-,D,-,D,-,D,4,D,-,3,-,D,D,-,-,-,15,-,D,5,D,D,-,D,-,-,3,D,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,32
Dominica,287,85,6,15,-,17,3,4,5,8,-,-,16,6,-,D,D,-,7,D,-,-,3,5,-,-,6,D,-,-,D,D,D,-,-,5,D,4,D,-,D,-,-,-,D,-,-,D,-,-,-,41,38
Dominican Republic,"30,005","16,477",63,"1,258",28,121,95,280,68,"2,363",20,9,232,"1,016",46,43,8,12,524,32,6,17,19,239,34,5,76,28,112,68,82,30,19,30,19,222,750,10,46,61,129,4,4,3,35,234,22,D,19,3,D,228,"4,753"
Ecuador,"6,157","3,214",136,419,36,72,174,112,37,53,17,12,58,69,D,22,10,21,121,165,3,15,14,50,30,11,27,13,68,10,18,8,9,11,31,143,20,4,5,7,38,-,6,D,15,36,6,D,5,5,D,20,774
Egypt,"6,164","1,402",505,52,146,189,154,267,180,155,151,64,68,159,86,52,45,203,72,90,54,26,24,116,21,54,54,14,25,55,44,62,331,10,10,16,56,13,23,49,13,-,3,18,15,43,25,4,26,16,10,21,873
El Salvador,"17,907","2,165","2,786",441,"1,004","1,411",135,"2,643",716,552,165,165,304,72,32,69,45,330,66,136,64,82,116,68,241,48,279,44,187,58,82,52,92,65,53,38,53,15,17,35,17,6,11,45,16,32,5,4,5,15,75,146,"2,604"
Equatorial Guinea,27,D,-,D,-,5,D,3,-,-,-,-,3,D,-,-,-,-,-,-,-,-,D,D,3,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,4
Eritrea,"1,881",9,32,3,164,52,32,114,101,23,161,38,62,27,3,46,8,D,D,50,7,11,75,D,33,29,34,15,24,58,14,28,20,10,18,3,6,14,23,D,D,-,-,D,25,6,4,-,-,9,-,4,478
Estonia,126,17,9,18,5,-,5,D,-,3,8,8,-,D,-,3,D,D,D,-,D,-,D,4,D,D,-,-,D,-,4,D,-,D,-,-,D,-,-,-,-,-,-,-,D,-,-,-,-,-,-,3,20
