Supplemental Table 2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS OBTAINING LAWFUL PERMANENT RESIDENT STATUS BY LEADING CORE BASED STATISTICAL AREAS (CBSA) OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,"New York-Newark-Jersey City, NY-NJ-PA","Miami-Fort Lauderdale-Pompano Beach, FL","Los Angeles-Long Beach-Anaheim, CA","Washington-Arlington-Alexandria, DC-VA-MD-WV","Houston-The Woodlands-Sugar Land, TX","Chicago-Naperville-Elgin, IL-IN-WI","San Francisco-Oakland-Berkeley, CA","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Newton, MA-NH","Atlanta-Sandy Springs-Alpharetta, GA","San Jose-Sunnyvale-Santa Clara, CA","Seattle-Tacoma-Bellevue, WA","San Diego-Chula Vista-Carlsbad, CA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Riverside-San Bernardino-Ontario, CA","Tampa-Saint Petersburg-Clearwater, FL","Minneapolis-Saint Paul-Bloomington, MN-WI","Orlando-Kissimmee-Sanford, FL","Phoenix-Mesa-Chandler, AZ","Detroit-Warren-Dearborn, MI","Sacramento-Roseville-Folsom, CA","Austin-Round Rock-Georgetown, TX","Denver-Aurora-Lakewood, CO","Las Vegas-Henderson-Paradise, NV","Portland-Vancouver-Hillsboro, OR-WA","Baltimore-Columbia-Towson, MD","Columbus, OH","San Antonio-New Braunfels, TX","Charlotte-Concord-Gastonia, NC-SC","Louisville/Jefferson County, KY-IN","Providence-Warwick, RI-MA","Indianapolis-Carmel-Anderson, IN","Nashville-Davidson--Murfreesboro--Franklin, TN","Raleigh-Cary, NC","Kansas City, MO-KS","Bridgeport-Stamford-Norwalk, CT","Jacksonville, FL","El Paso, TX","Urban Honolulu, HI","Cincinnati, OH-KY-IN","Salt Lake City, UT","Fresno, CA","Saint Louis, MO-IL","Hartford-East Hartford-Middletown, CT","Cleveland-Elyria, OH","Cape Coral-Fort Myers, FL","Worcester, MA-CT","Milwaukee-Waukesha, WI","McAllen-Edinburg-Mission, TX","Stockton, CA",Non-CBSA,Other & Unknown
Colombia,"17,545","4,098","3,592",399,462,562,319,156,224,519,508,67,80,102,129,108,609,55,778,67,44,31,76,94,75,52,54,35,98,197,25,182,35,32,78,39,184,114,24,9,19,62,7,42,65,18,92,37,19,22,10,108,"2,732"
Comoros,8,-,D,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,D,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D
"Congo, Democratic Republic","9,941",55,8,12,193,196,176,11,661,132,417,4,109,146,82,3,20,92,42,347,8,7,71,115,45,41,81,142,45,189,267,50,135,231,157,120,47,44,-,D,139,94,D,78,18,115,-,43,98,-,-,169,"4,683"
"Congo, Republic",580,40,D,3,23,32,29,-,23,4,17,-,8,D,D,-,-,9,3,53,3,-,3,18,-,3,5,14,5,5,13,3,8,D,15,8,-,-,-,-,3,5,-,-,4,4,-,4,D,-,-,7,197
Cook Islands,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Costa Rica,"2,171",588,181,75,56,47,31,21,37,29,40,17,22,17,53,26,56,12,38,27,6,10,19,17,19,15,8,5,25,70,5,4,4,7,4,7,27,15,-,-,4,10,D,4,5,3,18,3,7,D,D,18,455
Cote d'Ivoire,"1,375",354,9,12,130,34,21,7,70,20,86,D,17,10,73,D,9,28,D,5,11,5,5,19,D,8,20,9,D,17,5,3,17,3,6,6,D,3,-,D,15,D,-,D,-,27,-,9,12,-,D,10,265
Croatia,286,68,13,15,8,7,18,9,-,3,3,6,5,3,5,3,4,-,6,6,3,D,-,5,D,D,-,-,D,3,-,-,-,D,D,D,D,D,D,D,-,D,-,D,-,7,D,-,D,-,-,4,59
Cuba,"76,486","1,318","39,973",289,108,"4,467",170,52,840,62,449,34,41,122,83,83,"6,047",51,"1,709",664,28,14,"1,428",131,"1,671",318,42,19,512,247,"2,329",24,69,248,90,174,15,764,69,3,38,49,D,32,24,14,"1,546",24,13,65,D,446,"9,475"
Curacao,56,8,11,D,4,D,D,D,D,D,D,-,D,-,D,-,D,-,6,-,-,-,D,-,-,-,D,D,-,-,-,-,-,-,-,D,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,4
Cyprus,120,39,D,6,D,8,D,7,3,D,-,-,D,D,5,-,D,D,D,-,3,D,D,D,D,D,D,D,4,D,-,-,-,-,-,-,D,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,18
Czechia,534,54,16,35,16,6,44,17,4,13,17,7,10,10,9,3,11,D,-,6,12,4,D,10,-,7,D,D,D,D,D,-,5,D,D,-,3,4,D,D,D,-,-,D,-,D,6,D,5,-,-,5,173
Czechoslovakia (former),51,3,5,6,3,D,D,4,D,D,D,D,-,-,D,-,D,-,-,-,-,-,-,D,-,D,-,-,D,-,-,-,-,D,D,D,-,-,-,-,-,-,-,-,-,D,D,-,D,-,-,-,8
Denmark,353,54,15,36,10,18,7,23,D,13,4,7,19,11,3,D,4,4,4,D,-,D,5,D,-,11,3,D,D,-,-,-,3,D,3,D,3,D,-,D,-,-,3,D,D,-,-,D,-,-,-,8,62
