Country,Total,"New York-Newark-Jersey City, NY-NJ-PA","Los Angeles-Long Beach-Anaheim, CA","Miami-Fort Lauderdale-West Palm Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Chicago-Naperville-Elgin, IL-IN-WI","Houston-The Woodlands-Sugar Land, TX","San Francisco-Oakland-Hayward, CA","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Newton, MA-NH","Atlanta-Sandy Springs-Roswell, GA","Seattle-Tacoma-Bellevue, WA","San Jose-Sunnyvale-Santa Clara, CA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","San Diego-Carlsbad, CA","Riverside-San Bernardino-Ontario, CA","Detroit-Warren-Dearborn, MI","Phoenix-Mesa-Scottsdale, AZ","Orlando-Kissimmee-Sanford, FL","Minneapolis-Saint Paul-Bloomington, MN-WI","Tampa-Saint Petersburg-Clearwater, FL","Sacramento--Roseville--Arden-Arcade, CA","Las Vegas-Henderson-Paradise, NV","Denver-Aurora-Lakewood, CO","Baltimore-Columbia-Towson, MD","Portland-Vancouver-Hillsboro, OR-WA","Austin-Round Rock, TX","Charlotte-Concord-Gastonia, NC-SC","San Antonio-New Braunfels, TX","Columbus, OH","Providence-Warwick, RI-MA","Indianapolis-Carmel-Anderson, IN","Nashville-Davidson--Murfreesboro--Franklin, TN","El Paso, TX","Bridgeport-Stamford-Norwalk, CT","Urban Honolulu, HI","Raleigh, NC","Salt Lake City, UT","Kansas City, MO-KS","Jacksonville, FL","Louisville/Jefferson County, KY-IN","Cincinnati, OH-KY-IN","Hartford-West Hartford-East Hartford, CT","Stockton-Lodi, CA","Fresno, CA","Worcester, MA-CT","Cleveland-Elyria, OH","Bakersfield, CA","McAllen-Edinburg-Mission, TX","Cape Coral-Fort Myers, FL","San Juan-Carolina-Caguas, PR"
Germany,"5,306",648,347,170,182,127,109,260,61,176,108,128,149,71,74,54,108,43,56,38,43,30,29,61,38,67,37,67,32,26,18,17,21,20,27,27,30,17,25,15,12,21,23,11,10,13,21,7,3,39,9
Ghana,"6,949","1,891",56,20,869,227,89,44,179,118,304,28,4,228,23,39,24,33,18,95,25,7,16,116,157,22,16,53,11,375,46,18,38,6,22,,22,7,17,12,4,98,108,,,281,17,5,,,
Gibraltar,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,"1,451",368,73,53,45,92,30,49,17,110,20,24,20,53,12,7,24,25,7,5,30,7,11,,27,5,11,6,,7,14,3,,,11,6,3,,5,6,,,11,,,18,13,4,,,
Grenada,585,423,,14,14,,5,,5,7,8,,,,,,,,7,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,
Guatemala,"13,002","1,180","2,095",654,626,310,308,"1,035",185,416,273,87,96,99,149,310,18,145,53,76,60,45,115,54,75,147,61,66,56,19,396,30,65,4,142,,17,62,67,14,63,64,19,43,14,55,20,28,10,96,16
Guinea,"1,501",720,,3,105,13,10,9,12,32,95,28,,82,,,6,4,,34,,,,10,19,4,3,10,,76,10,20,,,,,6,,4,3,3,6,,,,,3,,,,
Guinea-Bissau,37,,,,,,,,,10,6,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,
Guyana,"5,771","4,182",26,172,122,13,15,3,20,43,100,3,,47,4,,9,15,184,55,38,7,,3,34,,,10,3,5,,,4,,3,,7,4,,19,,,55,,,,13,,,18,
Haiti,"23,584","5,928",35,"7,975",203,106,44,34,28,"1,855",279,25,,431,22,9,10,26,"1,481",26,290,7,16,23,24,12,15,36,14,45,117,21,31,4,334,,9,7,36,171,20,6,50,,7,58,3,,4,305,7
Honduras,"13,302","2,000",893,"1,753",762,208,928,265,386,268,276,88,66,105,50,149,28,54,127,71,164,20,88,49,117,40,143,212,101,42,53,72,66,15,62,,105,35,90,62,20,12,29,14,28,17,,13,13,84,13
Hong Kong,"2,510",446,483,44,52,49,38,369,57,77,22,117,154,34,24,25,15,8,8,11,,49,20,6,22,15,11,4,4,7,3,,,,7,40,4,,7,,,,,5,5,,3,,,,
Hungary,"1,048",182,88,79,30,26,18,32,18,23,11,16,34,13,17,12,9,12,15,7,22,11,15,9,,16,24,7,,,,4,3,3,19,9,10,5,12,11,,,,,,,,,,4,
Iceland,97,15,7,,7,,,4,4,6,,,,,,,,,,,,,,,5,4,,,,,,,,,,,,,,,,,,,,,,,,,
