Country,Total,"New York-Newark-Jersey City, NY-NJ-PA","Los Angeles-Long Beach-Anaheim, CA","Miami-Fort Lauderdale-West Palm Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Chicago-Naperville-Elgin, IL-IN-WI","Houston-The Woodlands-Sugar Land, TX","San Francisco-Oakland-Hayward, CA","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Newton, MA-NH","Atlanta-Sandy Springs-Roswell, GA","San Jose-Sunnyvale-Santa Clara, CA","Seattle-Tacoma-Bellevue, WA","San Diego-Carlsbad, CA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Riverside-San Bernardino-Ontario, CA","Phoenix-Mesa-Scottsdale, AZ","Detroit-Warren-Dearborn, MI","Minneapolis-Saint Paul-Bloomington, MN-WI","Tampa-Saint Petersburg-Clearwater, FL","Orlando-Kissimmee-Sanford, FL","Las Vegas-Henderson-Paradise, NV","Sacramento--Roseville--Arden-Arcade, CA","Denver-Aurora-Lakewood, CO","Baltimore-Columbia-Towson, MD","Portland-Vancouver-Hillsboro, OR-WA","Austin-Round Rock, TX","Columbus, OH","Charlotte-Concord-Gastonia, NC-SC","San Antonio-New Braunfels, TX","El Paso, TX","Nashville-Davidson--Murfreesboro--Franklin, TN","Urban Honolulu, HI","Providence-Warwick, RI-MA","Salt Lake City, UT","Indianapolis-Carmel-Anderson, IN","Bridgeport-Stamford-Norwalk, CT","Raleigh, NC","Kansas City, MO-KS","Hartford-West Hartford-East Hartford, CT","Jacksonville, FL","Fresno, CA","Saint Louis, MO-IL","Cincinnati, OH-KY-IN","Stockton-Lodi, CA","Cleveland-Elyria, OH","Milwaukee-Waukesha-West Allis, WI","Louisville/Jefferson County, KY-IN","McAllen-Edinburg-Mission, TX","San Juan-Carolina-Caguas, PR","Worcester, MA-CT"
Costa Rica,"2,029",491,80,222,60,37,46,22,30,22,40,21,16,15,58,22,38,5,15,41,36,15,16,7,5,20,16,,60,5,,7,8,4,5,11,24,9,4,5,13,,,3,4,,5,3,,10,3
Cote d'Ivoire,"1,497",417,10,10,162,23,36,18,64,21,112,,25,4,70,,5,19,30,15,,7,7,22,16,4,7,7,18,,,7,,16,13,11,4,7,6,,4,,19,9,4,13,4,18,,,5
Croatia,348,63,23,24,8,23,11,10,4,8,6,11,9,7,3,3,8,3,,7,6,5,,,,6,,,,,,5,,,,,,,3,,,,4,4,,6,4,,,,
Cuba,"54,396","1,123",242,"34,777",55,104,"2,103",58,313,53,240,14,17,50,35,53,370,11,18,"3,746","1,109","1,292",7,30,23,142,370,22,146,131,18,139,,5,26,20,21,53,110,10,370,,23,12,,6,14,783,38,109,7
Curacao,22,4,,7,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,
Cyprus,113,24,7,6,4,9,6,5,,,,,4,,4,,4,3,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,637,76,41,39,27,46,10,28,13,13,15,8,13,8,12,,5,5,6,13,12,5,4,8,,3,4,3,5,,,5,7,,,,3,4,,3,4,,5,,,,,,,,
Czechoslovakia (former),58,7,,6,3,6,,4,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,609,58,42,24,13,17,41,33,14,19,9,20,33,12,9,5,6,,10,11,20,,6,3,6,7,9,3,,4,,,3,,,,,7,,,3,,,9,,,,,,,
Djibouti,370,,,,,10,,,14,9,7,,9,3,,,,,113,,,,,8,,,,6,,,,,,,10,,,,13,,,,13,,,,,17,,,3
Dominica,229,63,,20,11,6,18,,,6,3,,,,,,,,,6,3,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
Dominican Republic,"50,610","30,318",78,"2,093",502,99,117,35,232,"3,565",305,5,28,19,"1,374",21,68,62,34,362,727,56,,6,138,15,17,68,169,22,,19,5,"1,315",13,48,317,100,32,202,47,,13,47,,55,28,3,5,"2,300",265
East Timor,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,"10,187","5,908",233,788,176,340,93,27,51,68,89,8,31,23,104,32,20,,194,94,135,33,8,20,31,7,8,13,103,10,,14,3,18,39,,294,10,10,57,15,,11,9,,10,4,7,,9,29
Egypt,"12,085","3,634","1,394",155,515,218,249,243,340,215,85,63,144,92,296,383,55,86,88,270,215,32,49,18,90,66,18,76,33,21,,658,6,62,8,57,20,80,29,30,15,12,10,31,11,83,11,10,3,,99
El Salvador,"19,487","2,460","3,608",461,"3,250",134,"1,565",994,748,526,312,138,84,47,51,401,88,17,100,70,63,271,68,94,207,50,83,36,156,33,4,76,7,61,67,53,29,77,58,27,8,128,,5,27,23,5,19,12,,65
Equatorial Guinea,25,,,,7,,,,,,3,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,"2,220",39,48,7,273,46,83,120,113,37,91,32,167,26,24,5,29,3,55,,5,74,5,75,49,16,25,52,55,19,,15,,,11,21,7,29,5,,6,4,10,15,,3,13,8,,,
Estonia,189,40,9,7,8,10,,3,5,10,,7,3,,,,,,,4,11,,,,7,3,,,,,,,7,,,,,,,,,,,4,,,,,,,
Ethiopia,"11,394",160,257,22,"2,592",180,215,204,519,195,681,139,693,112,135,26,112,28,911,47,15,379,53,540,160,122,80,244,69,24,,117,,,45,52,13,61,99,12,59,11,53,40,,10,20,53,,,5
Fiji,875,13,51,,5,,,171,4,,,12,64,,3,5,8,3,,,,,312,,,25,,,,,,,11,,,,,,,,,14,,,32,,,,,,
Finland,407,31,29,30,8,13,24,24,11,11,9,57,19,16,4,,,,7,6,3,,,,,7,,4,,,,,,,,,,5,,,,,,,,,,,,,
France,"4,693",905,405,365,187,165,162,405,57,176,66,246,130,94,38,30,23,42,51,21,47,40,20,21,14,35,28,11,13,8,3,11,16,12,13,12,9,20,15,19,5,,11,21,,15,11,,,7,6
French Polynesia,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
Gabon,146,14,6,,21,3,20,,,,10,,,,6,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gambia,"1,142",334,5,,45,6,3,,29,9,109,,139,,9,,,18,39,,,3,,3,10,8,,32,8,,,7,,20,,,4,35,8,3,,,,6,,3,,19,,,
Georgia,"1,410",729,89,18,36,28,8,22,24,9,19,27,10,3,117,,,,8,6,4,4,4,6,11,14,,5,4,3,,,,4,7,,13,,,5,3,,,11,,3,,,,,
Germany,"5,436",621,348,215,137,166,104,282,73,127,120,170,143,109,78,60,46,129,42,61,61,42,30,37,29,44,43,27,48,29,27,30,33,18,16,15,23,23,18,29,29,5,21,22,11,16,9,9,,6,12
Ghana,"6,186","1,664",68,17,764,203,90,35,153,82,334,5,43,16,198,35,28,26,98,23,19,13,6,89,124,15,19,280,47,8,9,52,3,27,13,17,20,18,23,83,16,,18,93,,12,7,10,,,222
Gibraltar,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,"1,211",271,63,38,42,85,24,38,6,85,19,22,33,11,53,7,4,24,7,20,4,8,4,5,10,7,6,5,5,,,,,6,,3,11,,8,10,4,,,,,5,5,,,,10
Grenada,525,365,4,10,17,,8,,10,5,10,,,,7,,,,,,6,,,,4,,,,,,,,,,,,3,,,,,,,,,,,,,,
Guatemala,"11,773","1,009","2,149",632,619,269,266,793,203,429,203,55,66,134,100,284,136,5,72,73,64,108,47,70,63,125,58,13,51,45,9,63,,326,68,28,154,25,50,14,19,8,4,67,29,25,19,44,,5,44
